time="2024-05-08T16:00:57.464" level=info msg="Starting kbench..."
time="2024-05-08T16:00:57.469" level=info msg="Created a new Pod manager."
time="2024-05-08T16:00:57.491" level=warning msg="Fail to create namespace kbench-pod-namespace, object is being deleted: namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-08T16:00:57.491" level=info msg="Performing pod actions in operation 0"
time="2024-05-08T16:00:57.491" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-08T16:00:57.518" level=error msg="pods \"kbench-pod-oid-0-tid-0\" is forbidden: unable to create new content in namespace kbench-pod-namespace because it is being terminated"
time="2024-05-08T16:00:57.518" level=info msg="Sleep 200000 mili-seconds after CREATE action"
time="2024-05-08T16:04:17.518" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-08T16:04:17.522" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:17.522" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:20.526" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:20.526" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:23.529" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:23.529" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:26.533" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:26.533" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:29.538" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:29.538" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:32.542" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:32.542" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:35.546" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:35.546" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:38.550" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:38.550" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:41.554" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:41.555" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:44.559" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:44.559" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:47.563" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:47.563" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:50.567" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:50.568" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:53.572" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:53.572" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:56.576" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:56.576" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:04:59.580" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:04:59.580" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:02.585" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:02.585" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:05.589" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:05.589" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:08.591" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:08.591" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:11.595" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:11.595" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:14.599" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:14.599" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:17.603" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:17.603" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:20.607" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:20.607" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:23.612" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:23.612" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:26.616" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:26.616" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:29.619" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:29.619" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:32.623" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:32.623" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:35.627" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:35.627" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:38.632" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:38.632" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:41.636" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:41.636" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:44.640" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:44.640" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:47.644" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:47.644" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:50.648" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:50.648" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:53.653" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:53.653" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:56.657" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:56.657" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:05:59.662" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:05:59.662" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:02.665" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:02.665" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:05.670" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:05.670" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:08.674" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:08.674" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:11.678" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:11.678" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:14.682" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:14.682" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:17.686" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:17.686" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:20.690" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:20.690" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:23.695" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:23.695" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:26.699" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:26.699" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:06:29.704" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-08T16:06:29.704" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
