time="2024-05-08T16:47:30.763" level=info msg="Starting kbench..."
time="2024-05-08T16:47:30.770" level=info msg="Created a new Pod manager."
time="2024-05-08T16:47:30.797" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-08T16:47:30.797" level=info msg="Performing pod actions in operation 0"
time="2024-05-08T16:47:30.797" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-08T16:47:30.835" level=info msg="Sleep 50000 mili-seconds after CREATE action"
time="2024-05-08T16:48:20.836" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-08T16:48:20.986" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:20.986" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:20.986" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:24.118" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:24.118" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:24.118" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:27.283" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:27.283" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:27.283" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:30.419" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:30.419" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:30.419" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:33.542" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:33.542" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:33.542" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:36.687" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:36.687" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:36.687" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:39.819" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:39.819" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:39.819" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:42.950" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:42.950" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:42.950" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:46.087" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:46.087" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:46.087" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:49.206" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:49.206" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:49.206" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:52.358" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:52.358" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:52.359" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:55.522" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:55.522" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:55.522" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:48:58.660" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:48:58.660" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:48:58.660" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:01.822" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:01.822" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:01.822" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:04.967" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:04.967" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:04.967" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:08.115" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:08.115" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:08.115" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:11.250" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:11.250" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:11.251" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:14.383" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:14.383" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:14.383" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:17.512" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:17.512" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:17.512" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:20.665" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:20.665" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:20.665" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:23.799" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:23.799" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:23.799" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:26.934" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:26.934" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:26.934" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:29.999" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:29.999" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:29.999" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:33.134" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-08T16:49:33.134" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-08T16:49:33.134" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-08T16:49:36.282" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
