time="2024-05-09T01:21:25.443" level=info msg="Starting kbench..."
time="2024-05-09T01:21:25.448" level=info msg="Created a new Pod manager."
time="2024-05-09T01:21:25.469" level=warning msg="Fail to create namespace kbench-pod-namespace, object is being deleted: namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-09T01:21:25.469" level=info msg="Performing pod actions in operation 0"
time="2024-05-09T01:21:25.469" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T01:21:25.489" level=error msg="pods \"kbench-pod-oid-0-tid-0\" is forbidden: unable to create new content in namespace kbench-pod-namespace because it is being terminated"
time="2024-05-09T01:21:25.489" level=info msg="Sleep 200000 mili-seconds after CREATE action"
time="2024-05-09T01:24:45.490" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T01:24:45.495" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:24:45.495" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:24:48.501" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:24:48.501" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:24:51.506" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:24:51.506" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:24:54.509" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:24:54.509" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:24:57.515" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:24:57.515" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:00.520" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:00.520" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:03.524" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:03.524" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:06.529" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:06.529" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:09.535" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:09.535" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:12.541" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:12.541" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:15.546" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:15.546" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:18.553" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:18.553" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T01:25:21.557" level=warning msg="Resource predicate not passed, object not found..."
time="2024-05-09T01:25:21.557" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
