time="2024-05-09T02:24:45.641" level=info msg="Starting kbench..."
time="2024-05-09T02:24:45.646" level=info msg="Created a new Pod manager."
time="2024-05-09T02:24:45.666" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-05-09T02:24:45.666" level=info msg="Performing pod actions in operation 0"
time="2024-05-09T02:24:45.666" level=info msg="Waiting all threads to finish on the current operation"
time="2024-05-09T02:24:45.713" level=info msg="Sleep 50000 mili-seconds after CREATE action"
time="2024-05-09T02:25:35.890" level=info msg="One operation completed. Continue to run the next..."
time="2024-05-09T02:25:36.084" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:36.084" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:36.084" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:25:39.258" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:39.258" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:39.258" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:25:42.454" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:42.454" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:42.454" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:25:45.636" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:45.636" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:45.636" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:25:48.783" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:48.783" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:48.783" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:25:51.927" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:51.927" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:51.927" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:25:55.093" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:55.093" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:55.093" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:25:58.303" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:25:58.303" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:25:58.303" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:01.479" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:01.479" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:01.479" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:04.606" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:04.606" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:04.606" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:07.777" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:07.777" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:07.777" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:10.923" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:10.923" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:10.923" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:14.088" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:14.088" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:14.088" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:17.225" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:17.225" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:17.225" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:20.388" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:20.389" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:20.389" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:23.544" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:23.544" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:23.544" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:26.717" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:26.717" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:26.717" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:29.874" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:29.874" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-05-09T02:26:29.874" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-05-09T02:26:33.046" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-05-09T02:26:33.046" level=warning msg="Command predicate not passed, output does not contain specified string"
